Name,SpeakerName,Lines
DLG_Mechanic,정비병 보로스,"(""외골격 관절부부터 보지. 계승자한텐 몸이 곧 무기니까."",""히트싱크에 오염 잔재가 끼면 출력이 뚝 떨어져. 무리한 기동 뒤엔 꼭 들러."",""세라가 모듈 회로를 본다면 난 프레임을 본다. 몸이 성해야 돌아오는 거야."")"
DLG_Janitor,청소병 핀,"(""밟은 자리 조심하세요, 방금 제염 끝낸 구역이라."",""오염원 근처 다녀오면 부츠에 포자가 붙어 와요. 다들 그걸 여기까지 끌고 오죠."",""누군가는 이 바닥을 닦아야 다들 숨 쉬고 삽니다. …출격 잘 다녀오세요."")"
DLG_ModuleManager,모듈 관리관 세라,"(""모듈 등록 상태를 확인하러 오셨습니까? 복귀 외골격 로그도 분석 중입니다."",""슬롯 용량과 동기율은 별개입니다. 좋은 모듈도 신체가 받쳐주지 못하면 짐일 뿐입니다."",""기체에 남은 흔적은 수치로 거짓말하지 않습니다. 이상 기록이 있으면 바로 알리겠습니다."")"
DLG_ItemShop,보급상 데크,"(""어서 와, 계승자. 크레딧만 있으면 뭐든 구해다 주지."",""소모품은 넉넉히 챙겨 둬. 전선 한복판에서 빈손이면 그걸로 끝이야."",""필요한 건 목록에서 골라. 가격표 그대로 받는다. 적어도 보급품으로 장난치진 않아."")"
DLG_Sentry_A,보초병 콜,"(""정지— 아, 계승자님이시군요. 통과하십시오."",""외곽 감지기의 잡음이 늘었습니다. 확인 전에는 추측하지 않겠습니다."",""전송 게이트는 작전 승인과 통행 코드가 모두 있어야 열립니다."")"
DLG_Sentry_B,보초병 렌,"(""교대까진 아직 멀었네요… 아, 근무 중 잡담은 금지였죠."",""이상 징후 없습니다. 계승자님 계신 동안은 다들 발 뻗고 잡니다."",""외곽 계기 상태는 정상입니다. 이상이 생기면 바로 보고하겠습니다."")"
DLG_Instructor,교육 조교 탈,"(""돌아왔으면 됐다. 하지만 네 이름을 실종자 명단에서 지우는 건 내가 확인한 뒤다."",""외골격은 과신하면 죽는다. 네 동기화율보다 비어 있는 3주치 로그가 더 문제야."",""생환이 최고의 성적이다. 이번에는 어디서, 어떻게 돌아왔는지까지 알아내."")"
DLG_Trooper_A,기갑병 릭,"(""외골격 출력 점검 끝. 언제든 전개 가능합니다."",""계승자님 뒤는 우리가 맡죠. 앞만 보고 나가십쇼."",""외곽 진입로는 아직 불안정합니다. 출격하시면 측면부터 확인하십쇼."")"
DLG_Trooper_B,기갑병 보드,"(""이 구역 방어선은 뚫린 적 없다. 우리가 있는 한."",""오염체가 몰려와도 여기서 막는다. 걱정 마쇼."",""교대 인원이 빠듯하오. 그래도 계승자 출격로는 우리가 지키겠소."")"
DLG_Officer,기갑 장교 발렌,"(""기갑 소대 지휘관 발렌이다. 네 생환 보고서는 내가 직접 받았다."",""작전 기록은 정확해야 한다. 확인되지 않은 기억은 보고에 섞지 마라."",""규율은 생존을 위한 장치다. 기록도 마찬가지지."")"
DLG_Civilian_A,피난민 미아,"(""여기까지 오느라… 정말 많은 걸 잃었어요."",""그래도 이 기지 안은 안전하잖아요. 계승자님 덕분에요."")"
DLG_Civilian_B,정착민 도른,"(""바깥은 오염이 심해서 엄두도 못 내요."",""당신 같은 사람들이 있어서 우린 버팁니다. 고맙습니다."")"
DLG_Civilian_C,노인 하란,"(""예전엔 이 땅도 푸르렀지… 오염이 다 삼키기 전엔."",""자네 같은 젊은이가 되찾아 줄 거라 믿네."")"
DLG_Merchant_A,행상인 코바,"(""떠돌이 장사꾼이오. 웬만한 건 다 있지."",""위험을 무릅쓰고 구해 온 물건들이야. 값은 하는 놈들이오."")"
DLG_Merchant_B,밀매상 지크,"(""쉿— 정식 보급으론 안 나오는 것들도 있거든."",""출처는 묻지 마쇼. 물건만 확실하면 되잖아?"")"
DLG_ShopCustomer_A,단골 타냐,"(""여기 보급이 제일 실하다니까요. 자주 와요."",""아, 계승자님도 뭐 사러 오셨어요? 줄은 제 뒤로."")"
DLG_ShopCustomer_B,손님 웨스,"(""크레딧이 늘 부족하네… 살 건 많은데."",""다음 출격 보상 들어오면 그때 지르려고요."")"
DLG_ModuleCustomer_A,기술광 뎁,"(""이번에 나온 신형 모듈 봤어요? 회로 설계가 예술이에요."",""동기화율만 받쳐주면 진짜 물건인데… 부럽네요, 계승자님."")"
DLG_ModuleCustomer_B,개조가 니케,"(""제 외골격은 제가 직접 튜닝하죠. 규격? 그건 참고용이에요."",""모듈 조합은 취향이에요. 당신은 어떤 스타일이세요?"")"
DLG_Hunt_Start_1,기갑 장교 발렌,"(""궤도 엘리베이터 하부에서 네 실종 당시와 같은 식별 신호가 잡혔다."")"
DLG_Hunt_Start_2,기갑 장교 발렌,"(""작전 승인은 내렸다. 콜에게 통행 코드를 받아 게이트를 열어."")"
DLG_Hunt_Start_3,기갑 장교 발렌,"(""내부에서는 세라의 유도를 따른다. 화물 구역부터 확보한 뒤 반응로로 이동해."")"
DLG_Mobility_Start_1,모듈 관리관 세라,"(""구동계 로그를 확인했습니다. 복귀 기록보다 마모가 심합니다."")"
DLG_Mobility_Start_2,모듈 관리관 세라,"(""현재 출력으로는 궤도 작전 진입 전에 낙오합니다."")"
DLG_Mobility_Start_3,모듈 관리관 세라,"(""데크에게서 질풍 모듈을 확보하십시오. 그동안 비어 있는 3주치 로그를 더 분석하겠습니다."")"
