Name,ItemName,Description,Icon,ItemType,Rarity,MaxStackSize,WeaponDefinition,WeaponStats
Mod_Armor_01,강화 장갑판,외골격에 덧대는 합금 장갑. 방어력을 끌어올린다.,/Game/UI/OutUI/Inventory/Icons/T_Mod_Armor_01.T_Mod_Armor_01,Module,Rare,99,,
Mod_Amp_01,고출력 증폭기,무기 출력 회로를 과부하시켜 공격력을 높인다.,/Game/UI/OutUI/Inventory/Icons/T_Mod_Amp_01.T_Mod_Amp_01,Module,Rare,99,,
Mod_Regen_01,나노 재생막,손상 조직을 실시간 복원하는 나노막. 최대 체력 증가.,/Game/UI/OutUI/Inventory/Icons/T_Mod_Regen_01.T_Mod_Regen_01,Module,Epic,99,,
Mod_Thrust_01,추진 강화 모듈,부스터 효율을 높여 이동 속도를 끌어올린다.,/Game/UI/OutUI/Inventory/Icons/T_Mod_Thrust_01.T_Mod_Thrust_01,Module,Common,99,,
Mod_Endure_01,지구력 코어,에너지 순환을 개선해 최대 스태미나를 늘린다.,/Game/UI/OutUI/Inventory/Icons/T_Mod_Endure_01.T_Mod_Endure_01,Module,Common,99,,
Mod_Swift_01,질풍 모듈,경량화 구동계. 이동 속도와 스태미나를 함께 강화.,/Game/UI/OutUI/Inventory/Icons/T_Mod_Swift_01.T_Mod_Swift_01,Module,Rare,99,,
Mod_Berserk_01,광폭 회로,방어 한계를 풀어 공격력을 폭증시키나 체력을 깎는다.,/Game/UI/OutUI/Inventory/Icons/T_Mod_Berserk_01.T_Mod_Berserk_01,Module,Epic,99,,
Mod_Bastion_01,철벽 프로토콜,전설급 방어 시스템. 방어력과 체력을 대폭 강화.,/Game/UI/OutUI/Inventory/Icons/T_Mod_Bastion_01.T_Mod_Bastion_01,Module,Legendary,99,,
Wpn_Pulse_01,펄스 라이플 MK-II,안정적인 연사가 강점인 표준 에너지 소총.,/Game/UI/OutUI/Inventory/Icons/T_Wpn_Pulse_01.T_Wpn_Pulse_01,Weapon,Rare,1,/Game/Data/Primary/Weapons/DA_Rifle.DA_Rifle,"(MinDamage=14,MaxDamage=20,FireRate=0.1,MagazineSize=30,ReloadTime=2,Penetration=1,CriticalChance=0.15,CriticalMultiplier=2,WeakpointMultiplier=1.5,MultiHitMultiplier=1,StatusEffectChance=0.1,BreakPower=10,HipFireAccuracy=0.7,AdsAccuracy=0.9,EffectiveRange=3000,MaxRange=8000,DamageFalloffPercent=0.5,MoveSpeed=600,MoveSpeedWhileFiring=420,MoveSpeedWhileAiming=380,SprintSpeed=900)"
Wpn_Rail_01,관통자 레일건,단발 고관통 레일건. 장갑을 무시하고 꿰뚫는다.,/Game/UI/OutUI/Inventory/Icons/T_Wpn_Rail_01.T_Wpn_Rail_01,Weapon,Legendary,1,/Game/Data/Primary/Weapons/DA_Sniper.DA_Sniper,"(MinDamage=120,MaxDamage=160,FireRate=1.2,MagazineSize=5,ReloadTime=3.5,Penetration=3,CriticalChance=0.35,CriticalMultiplier=4,WeakpointMultiplier=2.5,MultiHitMultiplier=1,StatusEffectChance=0.05,BreakPower=40,HipFireAccuracy=0.3,AdsAccuracy=0.99,EffectiveRange=12000,MaxRange=20000,DamageFalloffPercent=0.1,MoveSpeed=480,MoveSpeedWhileFiring=200,MoveSpeedWhileAiming=260,SprintSpeed=760)"
Wpn_Shotgun_01,브리처 산탄포 MK-II,근거리에서 다수의 산탄을 퍼부어 적진을 돌파하는 전투 산탄포.,,Weapon,Epic,1,/Game/Data/Primary/Weapons/DA_ShotGun.DA_ShotGun,"(MinDamage=85,MaxDamage=115,FireRate=0.75,MagazineSize=10,ReloadTime=2.6,Penetration=1.5,CriticalChance=0.1,CriticalMultiplier=1.8,WeakpointMultiplier=1.3,MultiHitMultiplier=8,StatusEffectChance=0.08,BreakPower=35,HipFireAccuracy=0.8,AdsAccuracy=0.65,EffectiveRange=1500,MaxRange=4000,DamageFalloffPercent=0.75,MoveSpeed=560,MoveSpeedWhileFiring=320,MoveSpeedWhileAiming=300,SprintSpeed=840)"
Wpn_Bazooka_01,시즈브레이커 로켓포,중장갑 표적과 밀집 진형을 폭발로 분쇄하는 대전차 로켓포.,,Weapon,Legendary,1,/Game/Data/Primary/Weapons/DA_Bazooka.DA_Bazooka,"(MinDamage=180,MaxDamage=240,FireRate=1,MagazineSize=1,ReloadTime=3.5,Penetration=4,CriticalChance=0.05,CriticalMultiplier=2,WeakpointMultiplier=1.2,MultiHitMultiplier=1,StatusEffectChance=0.15,BreakPower=80,HipFireAccuracy=0.45,AdsAccuracy=0.85,EffectiveRange=6000,MaxRange=10000,DamageFalloffPercent=0.2,MoveSpeed=450,MoveSpeedWhileFiring=180,MoveSpeedWhileAiming=220,SprintSpeed=700)"
Cons_Repair_01,나노 수리킷,현장에서 외골격을 즉시 복구하는 일회용 키트.,/Game/UI/OutUI/Inventory/Icons/T_Cons_Repair_01.T_Cons_Repair_01,Consumable,Common,20,,
Mat_Core_01,정제 코어,모듈 제작과 강화에 쓰이는 정제된 에너지 코어.,/Game/UI/OutUI/Inventory/Icons/T_Mat_Core_01.T_Mat_Core_01,Material,Rare,999,,
