Name,DisplayName,NPCRole,Description,InteractionLabel,InteractionRadius,Actions
NPC_Mechanic,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Mechanic_DisplayName"", ""정비병 보로스"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Mechanic_NPCRole"", ""정비병"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Mechanic_Description"", ""외골격 정비반을 20년째 지키고 있는 노련한 정비병이다. 모듈 회로보다 뼈대와 관절을 먼저 보는 고집이 있는데, 그 고집 덕에 살아 돌아온 작전원이 적지 않다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Mechanic_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Mechanic_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_Mechanic""))"
NPC_Janitor,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Janitor_DisplayName"", ""청소병 핀"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Janitor_NPCRole"", ""청소병"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Janitor_Description"", ""기지 제염 구역을 담당하는 청소병이다. 아무도 눈여겨보지 않는 일이라는 걸 알면서도, 자기가 닦은 바닥 위에서 다들 숨 쉬고 산다는 사실을 조용히 자부한다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Janitor_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Janitor_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_Janitor""))"
NPC_ModuleManager,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ModuleManager_DisplayName"", ""모듈 관리관 세라"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ModuleManager_NPCRole"", ""모듈 관리"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ModuleManager_Description"", ""기지의 모듈 등록과 체결을 총괄하는 관리관이다. 평소엔 수치와 규격으로만 말하지만, 작전 중 무전을 잡으면 누구보다 먼저 이상 징후를 읽어 낸다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ModuleManager_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ModuleManager_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_ModuleManager""),(Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ModuleManager_Actions_Index1_Label"", ""모듈""),Type=Screen,ScreenTag=(TagName=""UI.Screen.Module""),DialogueRowName=""""))"
NPC_ItemShop,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ItemShop_DisplayName"", ""보급상 데크"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ItemShop_NPCRole"", ""아이템 상점"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ItemShop_Description"", ""크레딧만 내면 뭐든 구해 온다는 기지의 보급상이다. 값은 정직하게 받는다는 원칙을 험한 세상에서도 지키고 있으며, 돌아온 작전원의 몫은 반드시 따로 챙겨 둔다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ItemShop_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ItemShop_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_ItemShop""),(Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_ItemShop_Actions_Index1_Label"", ""상점""),Type=Screen,ScreenTag=(TagName=""UI.Screen.Shop""),DialogueRowName=""""))"
NPC_Sentry_A,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_A_DisplayName"", ""보초병 콜"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_A_NPCRole"", ""보초병"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_A_Description"", ""보급창고 초소를 지키는 보초병이다. 방어선이 3주 사이 초소 뒤까지 밀렸다는 걸 알면서도, 자기 자리를 뜨는 법이 없다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_A_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_A_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_Sentry_A""))"
NPC_Sentry_B,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_B_DisplayName"", ""보초병 렌"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_B_NPCRole"", ""보초병"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_B_Description"", ""외곽 경계를 맡은 신참 보초병이다. 근무 중 잡담은 금지라고 스스로 되뇌면서도 사람만 보면 말을 붙이는데, 정작 이상 징후는 한 번도 놓친 적이 없다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_B_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Sentry_B_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_Sentry_B""))"
NPC_Instructor,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Instructor_DisplayName"", ""교육 조교 탈"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Instructor_NPCRole"", ""교육 조교"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Instructor_Description"", ""신병 교육대를 오래 지켜 온 교육 조교다. 생환이 최고의 성적이라는 말을 입에 달고 살며, 자기 손을 거친 이름이 실종자 명단에 오를 때마다 그 이름을 따로 적어 둔다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Instructor_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Instructor_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_Instructor""))"
NPC_Trooper_A,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_A_DisplayName"", ""기갑병 릭"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_A_NPCRole"", ""기갑병"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_A_Description"", ""계승자의 후방 엄호를 자처하는 기갑병이다. 외골격 출력 점검을 하루에도 몇 번씩 반복하는 성격이라, 그가 이상 없다고 하면 정말로 이상이 없다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_A_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_A_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_Trooper_A""))"
NPC_Trooper_B,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_B_DisplayName"", ""기갑병 보드"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_B_NPCRole"", ""기갑병"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_B_Description"", ""이 구역 방어선이 뚫린 적 없다고 단언하는 고참 기갑병이다. 말투는 무뚝뚝하지만 교대 인원이 부족할 때마다 자기가 한 타임씩 더 서는 쪽을 택한다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_B_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Trooper_B_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_Trooper_B""))"
NPC_Officer,"NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Officer_DisplayName"", ""기갑 장교 발렌"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Officer_NPCRole"", ""기갑 장교"")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Officer_Description"", ""기갑 소대를 지휘하는 장교다. 규율이 곧 생존이라 믿으며, 부대원이 감당하지 못할 기록은 자기 선에서 정리해 보고서에 남기지 않는다."")","NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Officer_InteractionLabel"", ""대화"")",150.000000,"((Label=NSLOCTEXT(""DT_NPCData [23523E33C7430B03FAEE8EDD5D9DCCD7]"", ""NPC_Officer_Actions_Index0_Label"", ""대화하기""),Type=Dialogue,ScreenTag=(TagName=""""),DialogueRowName=""DLG_Officer""))"
