Key,SourceString,Comment
Popup.Common.NoticeTitle,알림,공통 알림 팝업 제목
Popup.QuitGame.Confirmation,게임을 종료 하시겠습니까?,게임 종료 확인 본문
Popup.Settings.Title,설정,설정 안내 팝업 제목
Popup.Settings.UnavailableBody,설정 화면은 준비 중입니다.,설정 화면 미구현 안내
Popup.QuitGame.Title,게임 종료,메인 메뉴 종료 확인 제목
Popup.QuitGame.MainMenuConfirmation,정말 종료하시겠습니까?,메인 메뉴 종료 확인 본문
Popup.Shop.CannotBuy.Title,구매 불가,상점 구매 실패 제목
Popup.Shop.CannotBuy.Body,잔액이 부족하거나 더 보유할 수 없는 아이템입니다.,상점 구매 실패 본문
Popup.Shop.Buy.Title,구매하시겠습니까?,상점 구매 확인 제목
Popup.Quest.Reward.Title,보상 수령,퀘스트 보상 수령 팝업 제목
Popup.Lobby.UnavailableFeature,{0} 기능은 준비 중입니다.,로비 미구현 기능 안내
Dialogue.Action.Next,다음,대화 다음 버튼
Dialogue.Action.Close,닫기,대화 닫기 버튼
NPC.DefaultName,NPC,NPC 기본 표시 이름
NPC.Action.Interact,대화,NPC 기본 상호작용 라벨
NPC.Action.Exit,나가기,NPC 상호작용 종료 버튼
NPC.Message.NoActions,{0}(와)과 대화 내용이 아직 없습니다.,NPC 대화 없음 안내
Quest.Status.InProgress,진행중,퀘스트 진행 상태
Quest.Status.Completed,완료,퀘스트 완료 상태
Quest.Status.Claimed,수령완료,퀘스트 보상 수령 완료 상태
Quest.Status.Locked,잠김,퀘스트 잠김 상태
Quest.Status.NotStarted,미시작,퀘스트 미시작 상태
Quest.Reward.CreditsFormat,크레딧 +{0},퀘스트 크레딧 보상 표시 형식
Quest.Reward.ItemFormat,{0} ×{1},퀘스트 아이템 보상 표시 형식
Quest.Reward.MessageFormat,{0}\n\n{1},퀘스트 제목과 보상 본문 표시 형식
Inventory.Weapon.TypeFormat,타입: {0},무기 타입 표시 형식
Quantity.MaxPurchaseFormat,최대 {0}개 구매 가능,구매 가능 최대 수량
Common.Format.Count,x{0},아이템 보유 수량 표시 형식
Common.Format.Ratio,{0} / {1},현재 값과 최대 값 표시 형식
Common.Format.IndexedLabel,{0} {1},라벨과 순번 표시 형식
Common.Format.Percent,{0}%,정수 퍼센트 표시 형식
Common.Format.DistanceMeters,{0}m,미터 거리 표시 형식
Common.Distance.UnknownMeters,??m,알 수 없는 거리 표시
Common.Format.PositiveValue,0,양수 값 표시 형식
Common.Format.Range,{0} ~ {1},최솟값과 최댓값 표시 형식
Common.Format.Seconds,{0}s,초 단위 표시 형식
Common.Format.Multiplier,x{0},배율 표시 형식
Common.Format.SectionHeader,■ {0},스탯 구역 제목 표시 형식
Common.Format.StatLine,{0} {1},스탯 이름과 값 표시 형식
Common.Format.ObjectiveProgressLine,{0}  {1},퀘스트 목표와 진행도 표시 형식
