Name,DisplayName,NPCRole,InteractionLabel,InteractionRadius,Actions
# 자동 생성됨 - 직접 수정하지 말고 원본 xlsx를 편집하세요.,,,,,
NPC_Mechanic,정비병 보로스,정비병,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Mechanic""))"
NPC_Janitor,청소병 핀,청소병,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Janitor""))"
NPC_ModuleManager,모듈 관리관 세라,모듈 관리,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_ModuleManager""),(Label=""모듈"",Type=""Screen"",ScreenTag=""UI.Screen.Module"",DialogueRowName=""None""))"
NPC_ItemShop,보급상 데크,아이템 상점,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_ItemShop""),(Label=""상점"",Type=""Screen"",ScreenTag=""UI.Screen.Shop"",DialogueRowName=""None""))"
NPC_Sentry_A,보초병 콜,보초병,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Sentry_A""))"
NPC_Sentry_B,보초병 렌,보초병,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Sentry_B""))"
NPC_Instructor,교육 조교 탈,교육 조교,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Instructor""))"
NPC_Trooper_A,기갑병 릭,기갑병,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Trooper_A""))"
NPC_Trooper_B,기갑병 보드,기갑병,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Trooper_B""))"
NPC_Officer,기갑 장교 발렌,기갑 장교,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Officer""))"
NPC_Civilian_A,피난민 미아,시민,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Civilian_A""))"
NPC_Civilian_B,정착민 도른,시민,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Civilian_B""))"
NPC_Civilian_C,노인 하란,시민,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Civilian_C""))"
NPC_Merchant_A,행상인 코바,상인,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Merchant_A""))"
NPC_Merchant_B,밀매상 지크,상인,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_Merchant_B""))"
NPC_ShopCustomer_A,단골 타냐,상점 손님,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_ShopCustomer_A""))"
NPC_ShopCustomer_B,손님 웨스,상점 손님,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_ShopCustomer_B""))"
NPC_ModuleCustomer_A,기술광 뎁,모듈 상점 손님,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_ModuleCustomer_A""))"
NPC_ModuleCustomer_B,개조가 니케,모듈 상점 손님,대화,150,"((Label=""대화하기"",Type=""Dialogue"",ScreenTag="""",DialogueRowName=""DLG_ModuleCustomer_B""))"
