Name,SpeakerName,SpeakerColor,DialogueText,VoiceAudio,DisplayDuration,TypingSpeed
# 자동 생성됨 - 직접 수정하지 말고 원본 xlsx를 편집하세요.,,,,,,
Radio_Gate_Arrival,지휘관 이준혁,"(R=0.2,G=0.8,B=1.0,A=1.0)",화물 이송구역 진입 확인. 장벽이 내려왔다. 적을 전부 정리해야 다음 통로가 열릴 거다.,,4.0,0.03
Radio_Gate_Encounter,연구원 윤하나,"(R=0.9,G=0.6,B=1.0,A=1.0)",전이 반응이 계속 잡혀요. 한 번이 아니에요. 세 차례에 걸쳐 몰려올 거예요. 포위되지 않게 조심하세요.,,4.5,0.03
Radio_Gate_Clear,지휘관 이준혁,"(R=0.2,G=0.8,B=1.0,A=1.0)","좋아, 장벽이 풀렸다. 다음은 동력 제어구역이다. 리액터부터 확보해.",,4.0,0.03
Radio_System_Alert,방벽 AI 세라,"(R=1.0,G=0.85,B=0.0,A=1.0)",긴급 작전입니다. 화물 이송구역을 돌파하고 동력 제어구역의 리액터를 확보하세요. 균열 중심의 대형 개체까지 제거해야 합니다.,,5.0,0.03
Radio_MidBrief,연구원 윤하나,"(R=0.9,G=0.6,B=1.0,A=1.0)",적들이 리액터로 몰려들고 있어요! 원거리형도 보여요. 세 번의 공세만 버티면 돼요. 리액터를 지켜 주세요.,,4.5,0.03
Radio_Boss_Approach,지휘관 이준혁,"(R=0.2,G=0.8,B=1.0,A=1.0)",핵심부에 대형 반응이 나타났다. 중장갑 메카다. 놈이 적들을 불러들이고 있다. 여기서 끝내라.,,4.5,0.03
Radio_Boss_Clear,연구원 윤하나,"(R=0.9,G=0.6,B=1.0,A=1.0)",대형 개체 반응 소멸! 주변의 전이 신호도 전부 꺼지고 있어요. 해냈어요!,,4.0,0.03
Radio_Dungeon_Complete,지휘관 이준혁,"(R=0.2,G=0.8,B=1.0,A=1.0)",전 구역 안정화 확인. 궤도 엘리베이터를 확보했다. 수고했다. 이제 복귀해.,,4.0,0.03
Radio_Base_Welcome,방벽 AI 세라,"(R=1.0,G=0.85,B=0.0,A=1.0)",전초기지 복귀를 환영합니다. 보급창고에서 장비와 소모품을 점검한 뒤 출격을 준비해 주세요.,,4.0,0.03
